"Category","CategorySlug","Product","Type","Spec","ImageFile","ImagePath","ImageStatus","SourceFolder","WordPressAssetPath"
"Skin Boosters","skin-boosters","Rejuvenex Hydro Essence","PN+HA","2.5ml x 5Syringes","rejuvenex-hydro-essence.webp","assets/images/products/rejuvenex-hydro-essence.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuvenex-hydro-essence.webp"
"Skin Boosters","skin-boosters","Restylane Vital","HA","1ml x 1Syringe","restylane-vital.webp","assets/images/products/restylane-vital.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylane-vital.webp"
"Skin Boosters","skin-boosters","Restylane Vital Light","HA","1ml x 1Syringe","restylane-vital-light.webp","assets/images/products/restylane-vital-light.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylane-vital-light.webp"
"Skin Boosters","skin-boosters","REVS PRO 32","","2ml x 1Syringes","revs-pro-32.webp","assets/images/products/revs-pro-32.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/revs-pro-32.webp"
"Skin Boosters","skin-boosters","SKINVIVE","HA","1ml x 2Syringes","skinvive.webp","assets/images/products/skinvive.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/skinvive.webp"
"Lipolysis","lipolysis","Kabelline","","8ml x 5Vials","kabelline.webp","assets/images/products/kabelline.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/kabelline.webp"
"Lipolysis","lipolysis","Lipo Lab","","10ml x 5Vials","lipo-lab.webp","assets/images/products/lipo-lab.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/lipo-lab.webp"
"Lipolysis","lipolysis","Lipo Vela","","10ml x 10Vials","lipo-vela.webp","assets/images/products/lipo-vela.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/lipo-vela.webp"
"Lipolysis","lipolysis","Lipo Vele-V","","5ml x 10Vials","lipo-vele-v.webp","assets/images/products/lipo-vele-v.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/lipo-vele-v.webp"
"Lipolysis","lipolysis","Pure Bottle","","10ml x 5Vials","pure-bottle.webp","assets/images/products/pure-bottle.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/pure-bottle.webp"
"Lipolysis","lipolysis","V line A Solution Body","","30ml x 3Vials","v-line-a-solution-body.webp","assets/images/products/v-line-a-solution-body.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/v-line-a-solution-body.webp"
"Lipolysis","lipolysis","V line A Solution Face","","10ml x 5Vials","v-line-a-solution-face.webp","assets/images/products/v-line-a-solution-face.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/v-line-a-solution-face.webp"
"Exosomes","exosomes","Cellexor Re:Tone","EXOSOMES","100mg x 1Vialx & 5ml x 5Vials","cellexor-re-tone.webp","assets/images/products/cellexor-re-tone.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/cellexor-re-tone.webp"
"Biostimulators","biostimulators","Lapolyque","PDLLA+HA","200mg x 1Vial","lapolyque.webp","assets/images/products/lapolyque.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/lapolyque.webp"
"Biostimulators","biostimulators","Olidia","PLLA","365mg x 1vial","olidia.webp","assets/images/products/olidia.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/olidia.webp"
"Biostimulators","biostimulators","Radiesse","CaHA","","radiesse.webp","assets/images/products/radiesse.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/radiesse.webp"
